#    L    TT             EE             TE             PP             TP          
   191    0.53285E+04    0.66711E+00   -0.24003E+02    0.24624E+07    0.26423E+04
   192    0.53452E+04    0.66093E+00   -0.22968E+02    0.24490E+07    0.26204E+04
   193    0.53612E+04    0.65528E+00   -0.21911E+02    0.24358E+07    0.25988E+04
   194    0.53769E+04    0.65020E+00   -0.20828E+02    0.24227E+07    0.25774E+04
   195    0.53920E+04    0.64573E+00   -0.19723E+02    0.24096E+07    0.25561E+04
   196    0.54065E+04    0.64188E+00   -0.18595E+02    0.23967E+07    0.25351E+04
   197    0.54206E+04    0.63872E+00   -0.17444E+02    0.23839E+07    0.25143E+04
   198    0.54342E+04    0.63627E+00   -0.16272E+02    0.23712E+07    0.24937E+04
   199    0.54472E+04    0.63455E+00   -0.15077E+02    0.23586E+07    0.24732E+04
   200    0.54597E+04    0.63360E+00   -0.13861E+02    0.23461E+07    0.24529E+04
   201    0.54717E+04    0.63347E+00   -0.12624E+02    0.23338E+07    0.24327E+04
   202    0.54831E+04    0.63418E+00   -0.11366E+02    0.23215E+07    0.24127E+04
   203    0.54940E+04    0.63578E+00   -0.10087E+02    0.23093E+07    0.23929E+04
   204    0.55041E+04    0.63829E+00   -0.87899E+01    0.22972E+07    0.23732E+04
   205    0.55138E+04    0.64176E+00   -0.74724E+01    0.22852E+07    0.23536E+04
   206    0.55228E+04    0.64622E+00   -0.61358E+01    0.22733E+07    0.23342E+04
   207    0.55313E+04    0.65170E+00   -0.47805E+01    0.22615E+07    0.23150E+04
   208    0.55391E+04    0.65824E+00   -0.34071E+01    0.22498E+07    0.22959E+04
   209    0.55462E+04    0.66587E+00   -0.20158E+01    0.22382E+07    0.22769E+04
   210    0.55528E+04    0.67463E+00   -0.60757E+00    0.22267E+07    0.22581E+04
   211    0.55588E+04    0.68457E+00    0.81754E+00    0.22152E+07    0.22394E+04
   212    0.55641E+04    0.69569E+00    0.22586E+01    0.22039E+07    0.22209E+04
   213    0.55688E+04    0.70806E+00    0.37157E+01    0.21927E+07    0.22025E+04
   214    0.55729E+04    0.72166E+00    0.51876E+01    0.21815E+07    0.21842E+04
   215    0.55764E+04    0.73668E+00    0.66737E+01    0.21705E+07    0.21661E+04
   216    0.55792E+04    0.75293E+00    0.81743E+01    0.21595E+07    0.21482E+04
   217    0.55815E+04    0.77058E+00    0.96876E+01    0.21486E+07    0.21303E+04
   218    0.55832E+04    0.78962E+00    0.11214E+02    0.21378E+07    0.21126E+04
   219    0.55842E+04    0.81005E+00    0.12754E+02    0.21271E+07    0.20951E+04
   220    0.55847E+04    0.83201E+00    0.14303E+02    0.21165E+07    0.20777E+04
   221    0.55846E+04    0.85544E+00    0.15864E+02    0.21060E+07    0.20604E+04
   222    0.55839E+04    0.88047E+00    0.17435E+02    0.20955E+07    0.20432E+04
   223    0.55824E+04    0.90705E+00    0.19017E+02    0.20852E+07    0.20262E+04
   224    0.55806E+04    0.93515E+00    0.20607E+02    0.20749E+07    0.20093E+04
   225    0.55780E+04    0.96494E+00    0.22206E+02    0.20647E+07    0.19926E+04
   226    0.55749E+04    0.99640E+00    0.23812E+02    0.20545E+07    0.19760E+04
